sample_id	condition	replicate	fast5_dir	fastq_zip	seqsum
s0	test	0	/projects/ly_vu_direct_rna/results/nanopore/raw/F112876/PAK13262/basecalls/all/	/projects/ly_vu_direct_rna/results/nanopore/raw/F112876/PAK13262/PAK13262_pass_concat.fastq.gz	/projects/ly_vu_direct_rna/results/nanopore/raw/F112876/PAK13262/sequencing_summary.txt
s1	test	1	/projects/ly_vu_direct_rna/results/nanopore/raw/F112878/PAK31274/basecalls/all/	/projects/ly_vu_direct_rna/results/nanopore/raw/F112878/PAK31274/PAK31274_pass_concat.fastq.gz	/projects/ly_vu_direct_rna/results/nanopore/raw/F112878/PAK31274/sequencing_summary.txt
